#Title: The curious case of HD41248. A pair of static 
#       signals buried behind red-noise
#Authors: Jenkins J.S., Tuomi M.
#Table: HARPS timeseries data for HD41248
#================================================================================
#Byte-by-byte Description of file: apj499004t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label    Explanations
#--------------------------------------------------------------------------------
#   1- 15 F15.7  d       BJD      Barycentric Julian Date of observation
#  17- 23 F7.2   m/s     RVel     Radial velocity  
#  25- 28 F4.2   m/s   e_RVel     Uncertainty in RVel
#  30- 34 F5.3   [-]     S-index  Chromospheric activity S-index
#  36- 40 F5.2   m/s     BIS      Bisector inverse slope
#  42- 48 F7.2   m/s     FWHM     Full-Width at Half-Maximum 
#--------------------------------------------------------------------------------
2452943.8528426 3526.59 2.59 0.169 35.93 6721.78 
2452989.7102293 3519.14 4.06 0.170 27.40 6719.01 
2452998.6898180 3526.43 5.43 0.179 33.53 6701.21 
2453007.6786518 3526.63 2.53 0.162 28.61 6718.20 
2453787.6079555 3522.44 2.76 0.162 31.31 6718.54 
2454055.8375443 3523.18 2.06 0.168 23.95 6714.52 
2454789.7207967 3522.99 0.82 0.171 27.43 6722.19 
2454790.6943362 3519.49 0.90 0.170 30.83 6724.20 
2454791.7055725 3522.47 0.83 0.171 29.54 6720.60 
2454792.7042506 3522.29 0.80 0.172 28.09 6728.65 
2454793.7211230 3524.99 0.89 0.173 25.28 6727.73 
2454794.6946036 3527.04 0.89 0.172 29.59 6732.04 
2454795.7156306 3528.45 0.91 0.174 29.54 6725.92 
2454796.7195391 3528.21 0.96 0.174 30.33 6727.87 
2454797.7051254 3528.99 0.91 0.175 27.77 6733.22 
2454798.6972277 3531.20 0.92 0.173 25.14 6731.22 
2454902.5907553 3525.08 2.02 0.180 21.34 6729.23 
2454903.5172666 3527.59 0.78 0.172 27.69 6726.66 
2454904.5185682 3525.76 0.90 0.174 27.19 6722.67 
2454905.5355291 3527.55 0.90 0.171 27.98 6722.94 
2454906.5179999 3527.95 1.04 0.171 31.02 6723.86 
2454907.5647983 3527.52 0.91 0.173 28.88 6727.05 
2454908.5603822 3526.23 0.80 0.172 27.95 6720.84 
2454909.5380036 3527.11 0.85 0.170 25.45 6721.36 
2454910.5385064 3528.24 1.12 0.173 27.51 6726.82 
2454911.5427244 3524.98 0.75 0.172 28.13 6721.05 
2454912.5392921 3525.22 0.74 0.172 25.78 6718.78 
2455284.5272133 3528.23 0.73 0.175 28.43 6724.46 
2455287.5109103 3524.60 0.88 0.174 25.19 6733.01 
2455288.5285775 3523.32 0.75 0.173 25.44 6730.41 
2455289.5460248 3526.70 0.79 0.174 26.29 6723.60 
2455290.5095380 3525.90 0.89 0.174 21.96 6727.32 
2455291.5216615 3526.08 1.01 0.171 26.86 6734.67 
2455293.5043818 3527.36 0.97 0.172 27.39 6727.22 
2455304.5180173 3522.41 1.69 0.144 31.21 6801.23 
2455328.4550220 3529.11 0.79 0.175 20.74 6735.39 
2455334.4564390 3532.00 1.37 0.169 25.33 6737.32 
2455387.9305071 3530.98 1.04 0.171 27.29 6737.65 
2455390.9312188 3531.33 1.58 0.164 30.24 6734.98 
2455434.8790630 3516.75 3.33 0.157 31.59 6740.53 
2455439.8843407 3527.76 3.26 0.159 32.81 6723.48 
2455445.9241644 3522.93 3.11 0.162 28.31 6727.79 
2455465.8566225 3526.62 1.41 0.171 23.18 6731.85 
2455480.8795598 3527.59 1.13 0.171 27.10 6728.47 
2455483.8136024 3525.01 1.74 0.170 27.97 6734.02 
2455488.8262312 3525.84 0.75 0.171 31.08 6725.48 
2455494.8532009 3529.81 0.95 0.169 26.88 6730.95 
2455513.7823100 3528.86 1.29 0.172 35.60 6740.83 
2455516.7515789 3530.74 0.94 0.175 22.72 6736.79 
2455519.7046533 3528.85 1.20 0.168 21.96 6735.81 
2455537.7997291 3527.71 0.72 0.176 27.01 6730.30 
2455545.7213656 3529.20 0.85 0.175 26.69 6737.60 
2455549.7548559 3527.95 0.83 0.171 31.98 6734.55 
2455576.7923481 3525.35 1.01 0.165 29.18 6733.68 
2455580.7312518 3519.41 0.90 0.169 32.95 6729.42 
2455589.7734088 3528.42 1.42 0.169 24.59 6733.73 
2455612.6068850 3527.66 0.82 0.171 25.59 6731.09 
2455623.6361828 3528.30 1.18 0.169 28.96 6726.23 
2455629.5528393 3528.65 0.94 0.168 25.71 6732.35 
2455641.5542106 3528.98 1.01 0.170 28.91 6727.21 
2455644.5845033 3529.35 1.26 0.174 19.09 6740.11 
2455647.5796694 3529.95 1.37 0.167 29.11 6737.56 
2455904.8445150 3523.18 2.58 0.158 40.69 6747.45 
2456215.8328718 3526.25 1.39 0.168 30.20 6743.55 
2456218.7962306 3524.50 1.84 0.164 28.94 6740.25 
2456218.8693916 3523.75 1.62 0.165 35.11 6739.30 
2456220.8683473 3524.85 1.09 0.163 25.77 6731.64 
2456229.7183898 3532.26 1.69 0.166 31.33 6740.83 
2456229.8714013 3527.06 1.40 0.166 29.16 6736.86 
2456230.6857996 3530.13 1.47 0.167 27.20 6743.88 
2456230.8458134 3531.97 1.34 0.167 28.59 6736.59 
2456231.7334650 3531.02 1.55 0.171 29.46 6749.04 
2456231.8607353 3529.80 1.20 0.168 28.35 6741.43 
2456236.6604420 3524.84 1.51 0.173 29.56 6745.23 
2456236.8633497 3524.75 1.19 0.174 33.24 6733.75 
2456237.6662421 3525.98 1.33 0.177 28.27 6738.88 
2456237.8808398 3525.49 0.90 0.176 26.42 6741.69 
2456238.6619956 3532.88 1.31 0.175 29.30 6746.51 
2456238.6977368 3527.82 1.33 0.173 28.61 6742.04 
2456239.6522975 3532.63 1.42 0.175 24.85 6747.45 
2456245.7084222 3525.35 1.09 0.173 24.69 6743.09 
2456247.6418575 3528.74 1.02 0.168 28.32 6741.03 
2456256.6533194 3532.39 2.19 0.167 24.63 6747.43 
2456256.7645704 3525.52 1.24 0.175 25.11 6732.43 
2456257.6680498 3533.01 1.16 0.173 23.79 6744.10 
2456257.8001458 3530.94 1.23 0.178 32.49 6743.71 
2456258.7216343 3527.87 1.51 0.171 19.43 6747.10 
2456258.7556855 3529.95 1.47 0.173 29.98 6746.68 
2456259.7335053 3524.76 1.30 0.175 23.97 6746.34 
2456259.7520008 3525.54 1.26 0.175 23.55 6745.35 
2456262.6948682 3529.96 1.62 0.176 25.69 6742.39 
2456262.7981443 3523.17 1.32 0.178 27.46 6732.01 
2456263.6232652 3532.22 1.51 0.174 26.24 6741.81 
2456263.8103729 3529.64 1.14 0.174 24.40 6748.01 
2456307.5801789 3532.77 1.00 0.171 27.54 6743.34 
2456307.7092172 3533.96 1.33 0.180 24.02 6749.01 
2456308.5535163 3530.95 1.08 0.176 28.15 6736.73 
2456308.8012459 3533.41 1.41 0.170 24.73 6739.00 
2456309.5762513 3533.01 1.10 0.178 28.63 6744.66 
2456309.7930203 3531.16 1.28 0.172 31.86 6747.49 
2456310.5910230 3532.02 1.19 0.177 18.72 6741.44 
2456310.7069248 3536.34 1.26 0.177 19.30 6738.18 
2456311.5625541 3532.26 1.34 0.171 28.39 6747.14 
2456311.6578889 3530.72 1.20 0.176 28.15 6742.01 
2456312.5914918 3529.65 1.26 0.174 26.59 6741.52 
2456312.7438284 3534.54 2.32 0.169 17.33 6759.18 
2456314.5898762 3531.61 1.61 0.176 24.95 6757.65 
2456314.7537057 3530.93 1.62 0.173 28.79 6755.44 
2456315.6175515 3528.47 2.03 0.191 31.34 6756.00 
2456315.7297379 3528.90 1.58 0.184 23.65 6749.19 
2456316.6766846 3532.46 1.57 0.182 19.56 6745.99 
2456317.5901359 3526.93 1.14 0.173 23.48 6745.87 
2456317.6744291 3530.39 1.27 0.171 21.48 6743.95 
2456318.5677531 3529.95 1.37 0.173 28.49 6741.46 
2456318.6886662 3535.64 2.18 0.185 26.26 6752.97 
2456319.5818048 3526.20 1.52 0.178 26.31 6736.50 
2456319.7199515 3517.28 2.59 0.178 36.77 6759.41 
2456320.6218166 3526.41 1.13 0.174 32.82 6739.65 
2456320.7117346 3526.74 1.60 0.172 23.78 6736.66 
2456321.6454163 3527.10 1.74 0.174 26.13 6744.54 
2456321.7454383 3526.19 1.56 0.174 27.20 6744.40 
2456326.5925681 3526.19 1.65 0.172 32.18 6744.18 
2456326.6716412 3524.07 1.65 0.178 25.37 6736.35 
2456354.5410577 3527.23 1.13 0.165 32.33 6731.94 
2456354.6178620 3522.61 1.82 0.169 26.08 6735.38 
2456357.5276034 3529.82 1.59 0.166 29.62 6745.95 
2456357.6455296 3530.10 1.42 0.163 23.82 6742.41 
2456362.5180018 3528.99 1.14 0.175 27.93 6737.80 
2456362.6121205 3528.42 1.28 0.177 25.45 6744.41 
2456366.5017386 3526.21 0.98 0.175 24.63 6731.86 
2456366.6539234 3527.18 2.20 0.174 25.56 6758.16 
2456383.5228456 3527.32 1.81 0.173 27.84 6743.47 
2456384.5783826 3531.49 1.66 0.163 17.53 6734.83 
2456385.4956349 3526.67 1.34 0.165 25.32 6732.94 
2456385.5663744 3529.43 1.84 0.168 30.42 6741.01 
